alignment	hmm	model	oldname
25bd15a4671a7789775b1ecbb44ce167	160ccf24ecbf5e2c345f27a950013587	CdiA_C.st	STox_40.1
d7a949e9dd688937cb570e98c65c26bb	74869df0871de78fbcc975ad84add096	EvpQ.st	STox_48.1
8ac4e6e3ef779de3f177658be25e9fda	10b275bac48e0fd7f92194aed7495e26	ExoY.st	STox_10.1
1d222c7064d4ddc72c650cf6f96a5304	42aa514c139eea14ea1791dce10a8d4a	Ntox18.st1	Ntox18.1
6aefca1bf15d8474f47b09f36c2f1551	03bb71011f2a1b3c5dcf3a04cb95b8a3	Ntox18.st2	Ntox18.2
6c59402cc578c0f0cd5f1e191c511faa	32e0d88217b94b5f083e6645dfdde43f	Ntox19.st	Ntox19.1
2580d00cbf6060d28f80e2aca3ee2e43	e05fa909a6c1f35e5706a0450b0afa69	Ntox34.st	Ntox34.1
5c67d3d897a52d4ff46c07d12754faaa	0ec80902675b8c9e6c97b24ce512e29a	Ntox44.st1	Ntox44.1
9d64411ccebacbb1029325c275531d9c	76eba734ced3e43c4d0f270e871e143a	Ntox44.st2	Ntox44.2
4a46949fd57ab93cf0461f442b7a35bf	d3241ccd61a526d81e581e1f69a439fa	Ntox47.st1	Ntox47.1
7082683168ff95431b35260280d861dc	69d55204290a2b549a645e747afec531	Ntox47.st2	STox_5.1
3a503a4ed6992c3c59412d3b9b971fe8	9a137435ef0da61ed61940eb21d28ae1	Ntox49.st	Ntox49.1
5b5adcb4f0a7743fa1344def3b560588	176e9cb7edf056a9ee33a28cc1d17f56	Ntox7.st	Ntox_7.1
f5f8b012fb29e23d470f37536fd4f894	f8e54db6fe982a2975d334326199253c	ParBL.st1	ParBL.1
2342209231b6108871367a2ad964cced	465b864da83a76b7fa5195c54aa2b7a0	ParBL.st2	ParBL.2
743a17a847d8313a768377db34886135	52325f058235361a52271bd88ca3bced	ParBL.st3	ParBL.4
c86d3d82434a3aa66d667c3cd8baac0e	a0d6ec20978bf74ea4b46e69d0b23bab	Pesticin.st	STox_52.1
d680f91aea186f2293f6d293d57c2f62	0afbdb7dc8f0042746e2adbd1be3fccc	RhsP2.st	STox_28.1
57efd941bdc73bbdf8eceb657331c38c	f765c9e45db1c6ec56b760b06127ff19	Ssp6.st	STox_47.1
b375ef07d7482fe139ade2a36da439e6	d027de530de99139470c18068f0702c6	STox_11	STox_11.1
54697cb6255ac9c5265d7f178e44cf8a	01e6bedaab299987f5157c882d3cca4d	STox_12	STox_12.1
108d792ba5a8c650dc756e959ce263e8	5a94f8bd58c4b0ccb9d23d7e7d7533dd	STox_14	STox_14.1
6552025e59da5b2b8ca063fac8322956	bed598ec01be9abb4f15df2ed2543c19	STox_15	STox_15.1
432b20fda460bc22a3a6d175b35648cd	a3b29a842d15d08f773dd404fecc1e6e	STox_17	STox_17.2
65a87fb8a065af16fd81cb464f578244	b7df9c358169205922a5e2c14b0ba218	STox_18	STox_18.1
2672353fa5f344e17fb67ccb795cab94	e593e8c002d417ae27c535309132b4ee	STox_19	STox_19.1
b6f734cb36a2971597e0ed97f62af735	ed801fe0616791e20ad39a11526a50ae	STox_1	STox_1.1
8fc76ce71d2e6597a7d6ab9c879b69d3	604d4f321de7d4542a59d25f7fc69035	STox_20	STox_20.1
653369c14c96b4ca3a750b07dbeefb9b	6d97f231d37d47ad4baaed926ed22297	STox_23	STox_23.1
3ce8b9ad939d8445b5293981a060e4ab	3e37102e6b1b4a011bd741767ac945f8	STox_24	STox_24.1
dee6bb45759291998f1a4fceef040084	5f7b378071dd5300d6b8ddf920bdf09a	STox_25	STox_25.1
d29f885bb992dd3ce85a364a6697176e	43d92a33d917fb33b93918b5c981adf9	STox_29	STox_29.1
95d3d56a3612d9c8a875f3474542bee2	8b55b51ddb5e4ee5e4f8dbe3c7220d7a	STox_2	STox_2.1
b7fa3e4ad44d9d0fe322dddfa752cec9	256d5e77ac558dc874d810ed4dbca08f	STox_30	STox_30.1
72790bb4610ea34ffc4f059da938a750	596baccf637f403c798635b665fe5440	STox_31	STox_31.1
a45e33abb1bf1239e6b267634b878acb	44f9c0f65ff4058d6abd2bce60a864d4	STox_32	STox_32.1
fc86a164519ba199457a57fa35a45f07	b4c29fb530e1b0ee750358083c65be32	STox_33	STox_33.1
99a1992af5cc552af16aa120ef9435da	901590660cf39272c76762a6f00b3f46	STox_35	NAGPA.1
879a70f7b26d61f65d7b83a25944c37b	30f591420fb207a8db9fdac7948da054	STox_36	STox_36.1
3aee81a1333aad6ea7a6de6e7004da26	8ad12749f1b862cc8517fc862383503e	STox_37	STox_37.1
f7fd720e893d1f9544bc43266ecda2a0	23f07ac51cd4b7d29836820c5a01562e	STox_39	STox_39.1
42ad616feef7e7065d86a2f4da8d2ed4	3dba27a143d3eeda310411072a8d29a5	STox_3	STox_3.1
7a7a34e6c87fc9393a02e825ba882ac9	1bbf6b638d976c48db79d70aeff51cf9	STox_41	STox_41.1
060e4738d15ed6a694873a33b6424664	5441a8ca3cfaf02dbe89702d0055b91c	STox_42	STox_42.1
b134c027a016ea76bff348bb96974537	4e0520c483e6068b4bebe75e01f274df	STox_44	STox_44.1
b66e2c2eac65eddaecf85470cafc4941	5052e616a2aa6f1cb85996baca6705d3	STox_45	STox_45.1
94f689d31ed295eae76e553058d8047c	2ba9e7ab8c2299b30adf0f7308552967	STox_46	STox_46.1
0a1dc461459dfbcb36e759fe00f5c3df	d5859b58820f2650d8b0ecc17ab8c5e7	STox_49	STox_49.1
ab974a240dbf86a2aa2ce7107ba43417	376ef43446cf96c7ca3723b12f927afb	STox_4	STox_4.1
d0c4f378969d3c97d9a747c7309ff5e2	9e67acea44189e279bf682168973a049	STox_50	STox_50.1
0ea6e6d498e03e72a592315568d07159	d438e7fbab4398e6a481b8c7e3e7528a	STox_51	STox_51.1
409d3b68c9ede0dee3f5390db052a913	6f7eb8ca6bc6375a06ee6adf195d2267	STox_53	STox_53.1
75c411b55e69e7fdd1ea4c422f460817	543c188639bfcdd6765139625d5aa355	STox_54	STox_54.1
3764cc540e0ec9973e7b73b078f7bf6c	e56dad43a31aa739cb81bcf1b7117f4c	STox_55	STox_1.2
7e30b9b8c14342df6a95c74b8466c02d	5a5a584d07d6c09b36497b1c9657bbcc	STox_56	STox_46.2
86d62a72ac29969d3fa921c6349b6fcf	480624abe86580aa5a1065f1f3774bcb	STox_57	Tox-HNH-EHHH.1
1d0f626c013b96b24defbd2e7d3a5437	290803915f74cb5909628c6ca5af856f	STox_58	Tox-HNH-EHHH.2
d93f602dcc43e1d8712f96a9a3f0bffb	4aff1ec3e3b38cdbdc0e28e56e6c1cdb	STox_59	Tox-HNH-EHHH.3
4651f9560ddf782150771e6b81ba2253	4c4617235fd312671169d389a58aa277	STox_60	Tox-EndoU2.1
7113498b2a0e8d0da5549ce6d326a7b2	d32027996cfe80700620bece3b01974a	STox_61	Tox-CompNuc.1
e28a2b4cc09a50a2b1bda7b3e2b08383	5c17b6d0c309282ec3fe59496f926256	STox_62	CARP-ART.1
b48360df6368a05b86783566ed63cd78	aad57fa1883807294c94aae4eca5727d	STox_6	STox_6.1
23e1880442ccc4949c0549ef8216b6c7	cd801f4f5fe4bb4586329ef710cb1047	STox_7	STox_7.1
db3282f5157fad807987c30324ae909d	bd36aadca3ee27019c6b59a7c7fa7df5	Tae2.st	Tae2.1
11ef5cd4a8cf8a097a6af7c7dffac325	384b8854e3393a8cbec2723dd7866a39	Tae4.st	Tae4.1
bef61b476674e38ad65408702f6bd9a5	dc2b6482e631d60d77964ff980390428	Tge2PP.st	STox_22.1
76a1eac2c8556efc508d51d4dfcb1308	4f8a7fb477f8089d6080ed88f5bf6530	Tke2.st	STox_26.1
706eda0b15c467bce7f9fff1593da156	0390e231192ab76e28ea43c18ff84474	Tlde1.st1	Tlde1.1
540896006de037b7f383137b91e6d083	c889784e28d875b95ec41b62e115a1f2	Tlde1.st2	Tlde1.2
34d5e6bc8523452a2936b6fdf8eb2777	c796e5ad01ca4bf2f6f209c4e958925b	Tle1.st	STox_8
753ee0de61421b180d6d18fa1d944cf0	5bcc65fce638c14b5c38fa2a033a8e8b	Tle3.st	STox_27.1
6edd3f84a3607674614db70d95d7e86a	60a21ccdf006f53158adc5a3c488b002	Tox-AHH.st1	Tox-AHH.1
76fbac373fc3f651fee767c037d8f12c	b5a712dcc70700bb5c81d403ac03d8a5	Tox-AHH.st2	Tox-AHH.2
4d8c41590645787a3dcc1f8d7b06e913	c0b5ed2ea338a4477b5ef25857ce07e3	Tox-AHH.st3	Tox-AHH.3
3a1b419026eeac1c263233f869187f05	a60e03e45b09275a31d8aa3638570935	Tox-AHH.st4	Tox-AHH.4
b2cf227f77798c606882338894bcc851	d030431cd327a2b61c54259e42c14fce	Tox-ART-HYD3.st	Tox-ART-HYD.2
8f198b5dda009a0bff19ad2c4ef2c700	120e2bb149a76ebbdf34e556658345b3	Tox-ART-HYD.st	Tox-ART-HYD.1
0f452d285acda3d2ad102348f4aa2484	f52dcb28260ee549979da247935764e3	Tox-Caspase.st	Tox-Caspase.1
eaa6f2977ecc4cf25dd8ede146682202	1ee939500a54703e7a04def4e97111a9	Tox-HNHGH-E.st	HNHGH-E.1
57f5b8c0d2f532daba9722c26db9712a	2244a0a6da4fe28632d456ac1a576c86	Tox-HopH1.st	Tox-HopH.1
918b02d6d733dc11321ed7942dea4313	98eee4f762d6ee58af0d03a1496e60f5	ToxJAB2.st1	Tox-JAB.1
4d020c15c48aa1332128aab09b203c51	45aced90103c3fbe7aae2580e5ce52fe	ToxJAB2.st2	Tox-JAB.2
31b9981f78835401eb6ca074fdf361c9	d776aaf262862eefb423226eaa97a283	Tox-Peptidase_M23.st	Peptidase_M23.1
dc387cf34c765cca86aaca8a0042306c	fff27d2402e2116f4e326dcf36831a3e	Tox-Peptidase_M4.st	Peptidase_M4.1
60962a88505243b7dbe202fe1f425a78	3aae7baf9174b0be442936219b2b8362	Tox-REase-3_4.st	REase-3.1
c8232d570647922ffc8f6631de39b186	7db8ddabed78f83d3d0b3125bd9abbe3	Tox-REase-7.st	REase-7.1
149a801585fe5171c8078632997e2480	0e85d92e349f6ad1ebbee2959ad757b3	Tox-Ribonuclease.st	Tox-Ribonuclease.1
6352eb978b0d2793cda612c5bff65390	3b8dd9ad2b4cdcbcb383a27304203dac	Tox-URI1.st	Tox-URI1.1
fb73750438386f63b22279362d21a0bf	d04eb604cdbf1683a4e3923303587658	Tox-URI2.st	Tox-URI2.1
12e84580bc77cb881b33ca81032cbc1a	9fdefb7367454b039a240dfcf6804be3	Tox-WHH.st1	Tox-WHH.1
5e8db9aa3c63ba7095e00017f7137588	461a1d58ec15cf830f4d51a96ed6f084	Tox-WHH.st2	Tox-WHH.2
eba25345542964b2887a5b059a1c2665	de7bdcb17654485a5b02403aa7842edd	TreTu.st	STox_9.1
e2b18b536b57d9c9773cd55490394fac	eaea8de8f660b0327baf0bb3dae5e9d1	TseH.st	STox_16.1
cf3c2efae877130204b552ae23a14b5b	08bc7849df128d20248ff4b5c7b743cb	TseV	TseV
1475bc9ac26b83fabeb8747e339802d3	142d9c5d5a3fcf8998a198ddf24291a7	VasX.st	STox_13.1
